UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,install_date,idle_time,cycle_time
1445,L48624,L,299,310.2,1477,37.9,60,0,0,0,0,0,0,06-08-2018,12,74.22
1446,L48625,L,299,310.1,1618,29.2,62,0,0,0,0,0,0,11-12-2018,49,25
1447,M16306,M,299,310.2,1628,35.8,64,0,0,0,0,0,0,27-09-2018,67,233.26
1448,M16307,M,299,310.3,1662,33.6,67,0,0,0,0,0,0,21-04-2023,7,67.43
1449,M16308,M,299,310.3,1657,31,70,0,0,0,0,0,0,24-03-2021,24,52.06
1450,H30863,H,299,310.4,1677,30.8,73,0,0,0,0,0,0,06-04-2024,72,82.25
1451,M16310,M,299,310.3,1447,39.9,78,0,0,0,0,0,0,26-09-2015,42,58.9
1452,L48631,L,298.9,310.4,1831,25.4,81,0,0,0,0,0,0,21-02-2015,93,57.29
1453,L48632,L,299,310.3,1584,34.4,83,0,0,0,0,0,0,13-11-2022,40,38.45
1454,L48633,L,299.1,310.4,1450,40.9,85,0,0,0,0,0,0,07-03-2016,118,122.77
1455,L48634,L,299.1,310.4,1428,46.9,87,0,0,0,0,0,0,25-12-2023,32,79.76
1456,L48635,L,299,310.4,1382,53,89,0,0,0,0,0,0,20-03-2021,27,258.3
1457,L48636,L,299,310.3,1501,43,91,0,0,0,0,0,0,11-12-2017,43,160.81
1458,L48637,L,299,310.3,1475,42.4,93,0,0,0,0,0,0,06-03-2019,97,61
1459,L48638,L,298.9,310.3,1364,54,95,0,0,0,0,0,0,31-12-2021,5,294.89
1460,L48639,L,299,310.3,1472,36.1,97,0,0,0,0,0,0,08-09-2019,53,42.42
1461,L48640,L,299,310.3,1437,47.8,99,0,0,0,0,0,0,22-01-2022,34,274.1
1462,L48641,L,298.9,310.2,1491,45.1,101,0,0,0,0,0,0,18-10-2017,5,20.55
1463,L48642,L,298.9,310.2,1706,27.6,103,0,0,0,0,0,0,11-07-2020,116,216.62
1464,L48643,L,298.8,310.1,1607,39.5,105,0,0,0,0,0,0,08-04-2023,35,97.84
1465,L48644,L,298.8,310,1412,46.3,107,0,0,0,0,0,0,01-03-2017,34,155.68
1466,L48645,L,298.7,309.8,1546,40.9,109,0,0,0,0,0,0,05-11-2016,10,76.9
1467,L48646,L,298.7,309.8,1365,50.5,111,0,0,0,0,0,0,03-05-2019,113,252.73
1468,L48647,L,298.6,309.8,1544,30.2,113,0,0,0,0,0,0,03-10-2023,4,198.88
1469,M16328,M,298.6,309.8,1419,44.9,115,0,0,0,0,0,0,08-10-2017,65,225.23
1470,L48649,L,298.6,309.8,1497,41.6,118,0,0,0,0,0,0,15-08-2017,2,85.37
1471,L48650,L,298.5,309.7,1437,42.6,120,0,0,0,0,0,0,23-11-2019,3,70.49
1472,L48651,L,298.5,309.6,1421,53.6,122,0,0,0,0,0,0,19-05-2015,113,299.97
1473,M16332,M,298.5,309.6,1438,44.5,124,0,0,0,0,0,0,24-05-2023,18,96.45
1474,M16333,M,298.5,309.5,1315,48.9,127,0,0,0,0,0,0,15-06-2017,95,78.73
1475,M16334,M,298.5,309.5,1366,61.9,130,0,0,0,0,0,0,24-10-2023,54,47.33
1476,M16335,M,298.4,309.5,1519,35.4,133,0,0,0,0,0,0,24-08-2022,97,175.14
1477,L48656,L,298.4,309.5,1692,28.3,136,0,0,0,0,0,0,27-09-2021,42,67.03
1478,L48657,L,298.3,309.4,1570,35.6,138,0,0,0,0,0,0,28-10-2018,16,188.89
1479,L48658,L,298.3,309.4,1568,35.8,140,0,0,0,0,0,0,09-06-2017,104,73.99
1480,L48659,L,298.2,309.3,1355,43.8,142,0,0,0,0,0,0,22-10-2022,104,74.55
1481,M16340,M,298.2,309.3,2056,18.7,144,0,0,0,0,0,0,04-08-2023,49,72.32
1482,M16341,M,298.2,309.2,1332,60.2,147,0,0,0,0,0,0,29-10-2024,24,94.61
1483,M16342,M,298.1,309.1,1448,52.5,150,0,0,0,0,0,0,21-09-2024,104,66.15
1484,L48663,L,298,308.9,1578,35.6,153,0,0,0,0,0,0,24-07-2024,67,180.47
1485,M16344,M,298,309,1562,39.2,155,0,0,0,0,0,0,12-01-2015,16,53.5
1486,M16345,M,298.1,309,1976,19.3,158,0,0,0,0,0,0,28-11-2018,65,51.19
1487,M16346,M,298.2,309.2,1524,34.6,161,0,0,0,0,0,0,23-12-2023,18,96.76
1488,L48667,L,298.2,309.1,1429,48.5,164,0,0,0,0,0,0,10-12-2020,12,39.33
1489,L48668,L,298.2,309.1,1568,36.3,166,0,0,0,0,0,0,12-02-2019,79,200.76
1490,M16349,M,298.2,309,1723,26.6,168,0,0,0,0,0,0,30-11-2016,37,147.56
1491,L48670,L,298.2,309,1341,43.8,171,0,0,0,0,0,0,21-01-2023,56,44.44
1492,M16351,M,298.1,308.9,1353,46.2,173,0,0,0,0,0,0,26-02-2019,32,44.69
1493,M16352,M,298,308.7,1479,58.5,176,1,0,0,1,0,0,21-06-2015,31,295.27
1494,L48673,L,298,308.8,1496,44.9,179,0,0,0,0,0,0,08-12-2019,14,28.98
1495,M16354,M,298,308.7,1377,48.5,181,0,0,0,0,0,0,29-10-2024,62,43.12
1496,H30909,H,297.9,308.5,1383,44.6,184,0,0,0,0,0,0,09-12-2020,103,187.19
1497,L48676,L,298,308.7,1268,69.4,189,1,0,0,1,1,0,09-06-2019,88,273.29
1498,L48677,L,298,308.7,1629,34.3,191,0,0,0,0,0,0,01-05-2015,26,122.43
1499,L48678,L,298,308.8,1790,27.2,193,0,0,0,0,0,0,30-03-2020,71,112.73
1500,M16359,M,298.1,308.8,2206,16.3,195,0,0,0,0,0,0,05-07-2024,111,232.91
1501,M16360,M,298,308.7,2101,17.4,198,0,0,0,0,0,0,04-04-2024,90,80.87
1502,M16361,M,298,308.7,1436,48.2,201,0,0,0,0,0,0,05-09-2024,1,26.54
1503,L48682,L,298,308.7,1462,48.2,204,0,0,0,0,0,0,22-06-2019,13,53.7
1504,L48683,L,298,308.7,1771,26.2,206,0,0,0,0,0,0,23-08-2021,67,108.06
1505,L48684,L,298,308.7,1506,47,208,0,0,0,0,0,0,11-03-2021,61,107.71
1506,L48685,L,298,308.7,1626,36.7,210,0,0,0,0,0,0,08-01-2015,22,52.97
1507,L48686,L,298,308.8,1610,33.7,212,0,0,0,0,0,0,20-10-2020,106,160.92
1508,M16367,M,298,308.6,1376,55.7,214,0,0,0,0,0,0,17-01-2021,33,263.34
1509,M16368,M,298,308.6,1507,37.3,217,0,0,0,0,0,0,12-08-2016,31,214.74
1510,L48689,L,298,308.5,1429,37.7,220,1,1,0,0,0,0,08-11-2020,99,279.34
1511,M16370,M,298.1,308.7,1547,38.9,0,0,0,0,0,0,0,09-06-2018,100,32.07
1512,L48691,L,298.1,308.7,1642,30.3,3,0,0,0,0,0,0,21-05-2019,91,63.29
1513,H30926,H,298,308.7,1503,36.3,5,0,0,0,0,0,0,26-12-2019,38,190.81
1514,L48693,L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,18-05-2021,31,115.6
1515,M16374,M,298.1,308.8,1628,37.6,12,0,0,0,0,0,0,17-11-2018,92,270.49
1516,M16375,M,298.2,308.9,1614,35.5,15,0,0,0,0,0,0,16-02-2023,96,113.91
1517,L48696,L,298.2,308.9,1278,54,18,0,0,0,0,0,0,22-06-2017,95,163.1
1518,M16377,M,298.2,308.9,1408,38.8,20,0,0,0,0,0,0,13-06-2021,64,39.59
1519,H30932,H,298.2,309,1371,55.7,23,0,0,0,0,0,0,30-01-2019,105,105.46
1520,M16379,M,298.2,308.9,1512,38.5,28,0,0,0,0,0,0,28-08-2016,66,173.82
1521,L48700,L,298.3,309.1,1472,40.1,31,0,0,0,0,0,0,31-01-2015,33,188.82
1522,M16381,M,298.2,308.9,1585,34.3,33,0,0,0,0,0,0,21-07-2015,19,113.84
1523,H30936,H,298.2,309,1562,37.7,36,0,0,0,0,0,0,20-03-2021,61,72.05
1524,L48703,L,298.3,309,1519,36.9,41,0,0,0,0,0,0,21-07-2018,59,174.27
1525,L48704,L,298.2,309,1601,35.8,43,0,0,0,0,0,0,30-03-2019,76,122.26
1526,L48705,L,298.2,309,2449,13.8,45,0,0,0,0,0,0,06-09-2021,6,238.44
1527,L48706,L,298.1,309,1787,27.6,47,0,0,0,0,0,0,06-08-2021,21,265.42
1528,H30941,H,298.1,309.1,1425,44.5,49,0,0,0,0,0,0,22-06-2015,51,123.24
1529,L48708,L,298.1,309,1559,34,54,0,0,0,0,0,0,13-10-2024,30,132.6
1530,L48709,L,298.1,309,1557,36,56,0,0,0,0,0,0,07-12-2024,86,142.22
1531,L48710,L,298.1,309,1497,40.5,58,0,0,0,0,0,0,17-04-2022,3,131.4
1532,H30945,H,298.1,309,1438,41.4,60,0,0,0,0,0,0,17-04-2022,55,38.59
1533,M16392,M,298.1,308.9,1417,39.2,65,0,0,0,0,0,0,30-07-2020,38,144.23
1534,M16393,M,298,308.9,1339,51.4,68,0,0,0,0,0,0,25-06-2022,106,198.99
1535,L48714,L,298,308.8,1757,29.1,71,0,0,0,0,0,0,13-11-2016,112,279.28
1536,L48715,L,298,308.8,1581,36.1,73,0,0,0,0,0,0,28-01-2020,18,255.73
1537,M16396,M,298.2,308.9,1326,54.4,75,0,0,0,0,0,0,09-01-2018,109,274.19
1538,M16397,M,298.4,309.1,1467,39.6,78,0,0,0,0,0,0,06-06-2015,98,281.93
1539,L48718,L,298.4,309.1,1798,29.6,81,0,0,0,0,0,0,27-11-2021,85,236.58
1540,M16399,M,298.5,309.2,1449,46.4,83,0,0,0,0,0,0,23-11-2016,29,287.77
1541,M16400,M,298.4,309.1,1525,39.3,86,0,0,0,0,0,0,07-11-2024,6,91.05
1542,L48721,L,298.4,309,2304,15.1,89,0,0,0,0,0,0,05-08-2024,92,268.4
1543,L48722,L,298.3,308.9,1379,54.7,91,0,0,0,0,0,0,13-11-2024,44,261.39
1544,L48723,L,298.4,308.9,1628,34.9,93,0,0,0,0,0,0,29-05-2016,73,298.4
1545,L48724,L,298.4,309,1474,52.7,95,0,0,0,0,0,0,21-01-2022,104,250.13
1546,M16405,M,298.4,309,1544,38.8,97,0,0,0,0,0,0,11-01-2024,96,121.58
1547,L48726,L,298.4,308.9,1391,48.4,100,0,0,0,0,0,0,28-04-2022,102,51.32
1548,L48727,L,298.3,308.9,1348,55.5,102,0,0,0,0,0,0,26-07-2018,75,190.28
1549,M16408,M,298.3,308.8,1349,52.1,104,0,0,0,0,0,0,26-02-2018,17,204.96
1550,L48729,L,298.4,308.9,1706,29.5,107,0,0,0,0,0,0,30-12-2017,96,58.01
1551,L48730,L,298.4,308.9,1638,32.4,109,0,0,0,0,0,0,01-08-2022,18,130.4
1552,L48731,L,298.4,308.8,1458,40.1,111,0,0,0,0,0,0,16-01-2019,103,20.74
1553,L48732,L,298.5,308.9,1781,27.8,113,0,0,0,0,0,0,03-05-2019,67,22.72
1554,L48733,L,298.5,308.8,1332,59.1,115,0,0,0,0,0,0,25-10-2015,112,278.05
1555,M16414,M,298.4,308.7,1584,31.7,117,0,0,0,0,0,0,11-07-2021,13,199.92
1556,L48735,L,298.4,308.6,1491,42,120,0,0,0,0,0,0,09-05-2023,55,115.9
1557,H30970,H,298.4,308.5,1398,47.1,122,0,0,0,0,0,0,20-01-2015,61,124.99
1558,L48737,L,298.3,308.4,1585,30.6,127,0,0,0,0,0,0,05-10-2021,79,112.22
1559,M16418,M,298.2,308.3,1476,43.5,129,0,0,0,0,0,0,15-04-2020,0,147.53
1560,L48739,L,298.2,308.3,1458,41.8,132,0,0,0,0,0,0,01-05-2023,76,106
1561,M16420,M,298.2,308.4,1510,39.9,134,0,0,0,0,0,0,20-12-2023,92,36.09
1562,L48741,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,0,20-07-2018,119,111.22
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0,21-05-2020,110,231.44
1564,L48743,L,298.2,308.3,1402,51,141,0,0,0,0,0,0,10-12-2015,4,58.45
1565,M16424,M,298,308.2,2090,19,143,0,0,0,0,0,0,04-01-2015,95,88.52
1566,L48745,L,298,308.2,1459,42.1,146,0,0,0,0,0,0,05-07-2022,43,73.82
1567,M16426,M,298,308.1,1403,44.8,148,0,0,0,0,0,0,22-07-2017,64,209.96
1568,L48747,L,298.1,308.2,1521,39.3,151,0,0,0,0,0,0,03-02-2020,53,243.94
1569,L48748,L,298.2,308.2,1407,47.1,153,0,0,0,0,0,0,16-08-2017,110,181.95
1570,M16429,M,298.1,308.2,1654,35.3,155,0,0,0,0,0,0,14-07-2018,85,92.94
1571,L48750,L,298.2,308.4,1452,43.5,158,0,0,0,0,0,0,04-06-2024,94,82.19
1572,L48751,L,298.3,308.4,1528,37.3,160,0,0,0,0,0,0,13-11-2020,98,296.54
1573,L48752,L,298.2,308.3,1230,59.6,162,0,0,0,0,0,0,25-03-2016,55,28.53
1574,L48753,L,298.2,308.2,1466,42.4,164,0,0,0,0,0,0,18-12-2019,71,80.25
1575,L48754,L,298.2,308.2,1478,50.1,166,0,0,0,0,0,0,17-05-2017,17,122.83
1576,L48755,L,298.2,308.3,2057,18,168,0,0,0,0,0,0,03-02-2021,85,291.03
1577,L48756,L,298.3,308.4,1490,41.7,170,0,0,0,0,0,0,21-01-2020,16,61.79
1578,L48757,L,298.3,308.4,1484,43.4,172,0,0,0,0,0,0,13-10-2019,113,94.52
1579,L48758,L,298.3,308.4,1593,37,174,0,0,0,0,0,0,13-12-2018,88,66.49
1580,L48759,L,298.3,308.3,1444,43.8,176,0,0,0,0,0,0,22-04-2023,41,235.2
1581,M16440,M,298.3,308.4,1444,47.5,178,0,0,0,0,0,0,16-08-2015,101,247.72
1582,M16441,M,298.2,308.3,1560,33,181,0,0,0,0,0,0,01-06-2020,119,129.82
1583,H30996,H,298.1,308.3,1530,42,184,0,0,0,0,0,0,03-10-2015,33,52.09
1584,L48763,L,298.2,308.4,1310,61,189,1,0,0,0,1,0,08-11-2021,87,112.81
1585,M16444,M,298.2,308.3,1639,33.3,191,0,0,0,0,0,0,11-11-2022,5,48.71
1586,L48765,L,298.2,308.3,1400,48.7,194,0,0,0,0,0,0,28-07-2015,47,212.72
1587,M16446,M,298.3,308.4,1486,44.2,196,0,0,0,0,0,0,23-08-2021,63,141.22
1588,M16447,M,298.2,308.3,1448,43.3,199,0,0,0,0,0,0,29-08-2015,90,219.87
1589,L48768,L,298.2,308.3,1688,32,202,0,0,0,0,0,0,06-04-2015,116,274.08
1590,M16449,M,298.1,308.3,1453,41.5,204,0,0,0,0,0,0,23-04-2018,108,153.35
1591,L48770,L,298.2,308.4,1497,37.7,207,0,0,0,0,0,0,27-10-2018,95,32.78
1592,L48771,L,298.2,308.4,1355,49.4,209,0,0,0,0,0,0,27-09-2022,15,167.89
1593,L48772,L,298.1,308.4,1592,38.2,211,0,0,0,0,0,0,01-05-2017,34,124.01
1594,L48773,L,298,308.3,1544,34.7,213,0,0,0,0,0,0,14-03-2017,119,101.25
1595,M16454,M,298,308.2,1373,51.2,215,0,0,0,0,0,0,05-10-2020,52,42.84
1596,L48775,L,298,308.2,1365,52.9,218,1,0,0,0,1,0,04-06-2015,107,146.09
1597,L48776,L,298,308.1,1877,24.3,0,0,0,0,0,0,0,20-04-2022,22,89.17
1598,L48777,L,297.9,308.1,1531,40.8,2,0,0,0,0,0,0,25-01-2024,19,83.7
1599,L48778,L,297.9,308,1501,36.7,4,0,0,0,0,0,0,02-04-2020,74,254.9
1600,L48779,L,297.9,308,1490,46.2,6,0,0,0,0,0,0,29-05-2017,35,77.01
1601,M16460,M,297.8,307.8,1543,43.7,8,0,0,0,0,0,0,24-11-2022,118,212.45
1602,L48781,L,297.8,307.8,1597,38.2,11,0,0,0,0,0,0,14-01-2020,49,168.53
1603,H31016,H,297.8,307.9,1600,33.5,13,0,0,0,0,0,0,16-01-2024,100,283.88
1604,M16463,M,297.8,307.8,1622,32.1,18,0,0,0,0,0,0,30-12-2022,4,255.51
1605,L48784,L,297.8,307.8,1452,39.8,21,0,0,0,0,0,0,31-07-2021,76,38.76
1606,L48785,L,297.8,307.8,1396,42.5,23,0,0,0,0,0,0,19-06-2024,44,208.31
1607,L48786,L,297.8,307.7,1505,39.7,25,0,0,0,0,0,0,23-04-2018,54,204.69
1608,L48787,L,297.8,307.8,1412,48.3,27,0,0,0,0,0,0,31-01-2024,114,64.82
1609,L48788,L,297.8,307.7,1393,38,29,0,0,0,0,0,0,20-06-2018,82,153.05
1610,L48789,L,297.7,307.7,1581,34.9,31,0,0,0,0,0,0,27-06-2020,38,30.15
1611,L48790,L,297.8,307.8,1573,37.9,33,0,0,0,0,0,0,25-07-2018,53,104.97
1612,M16471,M,297.8,307.9,1726,27.3,35,0,0,0,0,0,0,17-02-2017,63,204.55
1613,M16472,M,297.9,307.9,1540,39.8,38,0,0,0,0,0,0,16-10-2015,83,271.99
1614,L48793,L,297.9,308,1296,62.9,41,0,0,0,0,0,0,27-01-2017,67,178.93
1615,M16474,M,297.8,307.9,1802,25.8,43,0,0,0,0,0,0,02-05-2017,75,173.8
1616,L48795,L,297.8,307.9,1447,48.6,46,0,0,0,0,0,0,18-05-2019,0,263.7
1617,H31030,H,297.8,307.8,1662,30.7,48,0,0,0,0,0,0,19-09-2022,94,249.39
1618,L48797,L,297.8,307.8,1563,34.3,53,0,0,0,0,0,0,16-10-2020,25,285.09
1619,L48798,L,297.9,307.8,1286,59.5,55,0,0,0,0,0,0,27-07-2024,89,44.54
1620,L48799,L,297.9,307.7,1590,34.6,57,0,0,0,0,0,0,29-07-2017,30,92.36
1621,L48800,L,297.9,307.7,1492,43.7,59,0,0,0,0,0,0,28-06-2020,24,296.61
1622,L48801,L,297.7,307.6,1844,21.9,61,0,0,0,0,0,0,07-08-2020,3,55.95
1623,H31036,H,297.7,307.6,1538,38.3,63,0,0,0,0,0,0,17-11-2023,18,218.45
1624,L48803,L,297.7,307.6,1921,22.9,68,0,0,0,0,0,0,18-12-2019,4,192.17
1625,M16484,M,297.8,307.8,1310,57.9,70,0,0,0,0,0,0,07-07-2017,7,166.35
1626,L48805,L,297.9,307.8,1365,46.9,73,0,0,0,0,0,0,03-06-2019,66,221.69
1627,M16486,M,297.9,307.8,1303,59.3,75,0,0,0,0,0,0,29-10-2016,64,200.39
1628,L48807,L,297.9,307.8,1499,37.5,78,0,0,0,0,0,0,30-07-2019,33,240.8
1629,L48808,L,297.9,307.8,1451,38.2,80,0,0,0,0,0,0,03-10-2022,117,149.99
1630,M16489,M,297.9,307.9,1336,54.4,82,0,0,0,0,0,0,01-06-2015,53,218.12
1631,L48810,L,297.9,307.9,1412,44.5,85,0,0,0,0,0,0,11-02-2020,106,130.98
1632,L48811,L,298,308,1433,39.2,87,0,0,0,0,0,0,23-04-2020,19,142.66
1633,L48812,L,297.9,307.9,1426,43.6,89,0,0,0,0,0,0,06-11-2023,96,252.96
1634,L48813,L,297.9,307.9,1476,45.2,91,0,0,0,0,0,0,31-07-2015,101,106.86
1635,H31048,H,297.9,307.9,1406,58.5,93,0,0,0,0,0,0,26-09-2021,30,242.88
1636,L48815,L,297.8,307.8,1383,56.5,98,0,0,0,0,0,0,26-02-2023,105,38.99
1637,L48816,L,297.9,307.8,1505,37.3,100,0,0,0,0,0,0,02-08-2016,60,22.93
1638,L48817,L,297.9,307.8,1665,33.9,102,0,0,0,0,0,0,31-08-2024,77,74.8
1639,L48818,L,297.9,307.8,1397,45,104,0,0,0,0,0,0,17-07-2018,119,77.1
1640,M16499,M,297.9,307.8,1450,43.5,106,0,0,0,0,0,0,19-12-2016,18,34.73
1641,L48820,L,298,307.8,1567,36.4,109,0,0,0,0,0,0,10-03-2022,46,261.37
1642,M16501,M,298,308,1555,37,111,0,0,0,0,0,0,19-01-2021,109,35.26
1643,H31056,H,298,307.8,1588,35.4,114,0,0,0,0,0,0,27-02-2021,84,119.21
1644,L48823,L,298,307.8,1453,37.7,119,0,0,0,0,0,0,03-07-2015,19,34.66
1645,L48824,L,298,307.8,1622,33.3,121,0,0,0,0,0,0,14-05-2015,105,72.1
1646,L48825,L,297.9,307.8,1538,38.5,123,0,0,0,0,0,0,02-06-2022,76,145.13
1647,M16506,M,297.9,307.7,1527,42.8,125,0,0,0,0,0,0,06-09-2024,41,76.73
1648,L48827,L,297.8,307.8,1761,28.9,128,0,0,0,0,0,0,03-05-2020,66,167.74
1649,L48828,L,297.9,307.8,1373,50.2,130,0,0,0,0,0,0,11-05-2017,68,84.58
1650,H31063,H,298,307.9,1482,37.8,132,0,0,0,0,0,0,02-10-2024,88,274.14
1651,M16510,M,298,307.9,1417,51,137,0,0,0,0,0,0,22-07-2024,22,87.66
1652,L48831,L,298,307.8,1414,51.7,140,0,0,0,0,0,0,24-04-2016,56,276.4
1653,H31066,H,297.9,307.8,1635,34,142,0,0,0,0,0,0,07-02-2023,65,187.47
1654,L48833,L,298,307.8,1386,57.3,147,0,0,0,0,0,0,08-11-2016,83,71.31
1655,L48834,L,298.2,308.1,1379,62.3,149,0,0,0,0,0,0,25-03-2020,62,34.32
1656,M16515,M,298.2,308,1577,35.9,151,0,0,0,0,0,0,23-12-2024,43,201.08
1657,L48836,L,298.2,308.1,1532,42.5,154,0,0,0,0,0,0,24-04-2020,99,164.49
1658,M16517,M,298.1,308,1374,48.8,156,0,0,0,0,0,0,12-07-2021,77,292.29
1659,H31072,H,298.1,308,1570,35.3,159,0,0,0,0,0,0,05-04-2016,107,43.43
1660,L48839,L,298.1,308,1697,31,164,0,0,0,0,0,0,15-11-2024,22,213.73
1661,L48840,L,298.2,308,1499,44.1,166,0,0,0,0,0,0,02-01-2022,44,278.86
1662,M16521,M,298.2,308,1411,47.2,168,0,0,0,0,0,0,14-05-2017,94,152.22
1663,H31076,H,298.2,307.9,1462,45.5,171,0,0,0,0,0,0,08-03-2020,57,97.56
1664,M16523,M,298.1,307.9,1759,28.6,176,0,0,0,0,0,0,15-05-2016,70,172.07
1665,L48844,L,298.2,308,1535,38,179,0,0,0,0,0,0,13-07-2018,60,80.61
1666,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0,20-02-2019,108,230.71
1667,L48846,L,298.2,307.9,1551,36,186,0,0,0,0,0,0,14-04-2022,12,270.6
1668,L48847,L,298.2,307.9,1769,27.2,188,0,0,0,0,0,0,22-08-2019,6,276.78
1669,L48848,L,298.2,307.9,1551,34.1,190,0,0,0,0,0,0,23-06-2021,106,220.97
1670,L48849,L,298.2,307.9,1544,31.4,192,0,0,0,0,0,0,24-06-2017,84,282.01
1671,L48850,L,298.2,307.8,1528,31.1,194,0,0,0,0,0,0,11-12-2017,18,215.43
1672,L48851,L,298.1,307.9,1614,35.8,196,0,0,0,0,0,0,29-07-2023,38,253.52
1673,L48852,L,298.1,307.8,1432,49.8,198,0,0,0,0,0,0,03-02-2020,114,175.07
1674,M16533,M,298.1,307.8,1384,43.7,200,0,0,0,0,0,0,06-04-2017,109,248.71
1675,L48854,L,298.1,307.8,1540,37.8,203,0,0,0,0,0,0,01-02-2022,18,172.02
1676,L48855,L,298,307.7,1407,43.9,205,0,0,0,0,0,0,26-08-2024,91,240.38
1677,H31090,H,297.9,307.6,1418,43,207,0,0,0,0,0,0,18-12-2024,51,86.66
1678,M16537,M,297.9,307.5,1647,30.8,212,0,0,0,0,0,0,13-09-2017,59,79.2
1679,L48858,L,298,307.5,1644,32.8,215,0,0,0,0,0,0,16-06-2016,68,38.82
1680,L48859,L,298,307.5,1792,27.9,217,0,0,0,0,0,0,01-03-2023,65,192.02
1681,M16540,M,297.9,307.4,1610,34.6,219,0,0,0,0,0,0,10-10-2020,82,110.8
1682,M16541,M,297.8,307.3,1804,26,222,0,0,0,0,0,0,15-03-2015,61,82.19
1683,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,09-02-2018,23,245.34
1684,M16543,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,0,15-06-2021,83,229.62
1685,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0,26-08-2023,101,71.89
1686,L48865,L,297.9,307.3,1824,26.3,5,0,0,0,0,0,0,25-12-2019,68,237.11
1687,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0,03-04-2016,61,162.18
1688,L48867,L,297.9,307.3,1502,36.7,12,0,0,0,0,0,0,03-12-2019,26,196
1689,L48868,L,297.9,307.4,1606,35.5,14,0,0,0,0,0,0,28-05-2020,47,218.54
1690,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0,04-06-2024,43,288.47
1691,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0,06-03-2019,25,267.87
1692,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0,10-06-2017,113,279.78
1693,M16552,M,298.1,307.6,1764,27.7,23,0,0,0,0,0,0,24-08-2018,65,213.59
1694,H31107,H,298,307.5,1683,27.8,26,0,0,0,0,0,0,05-02-2016,97,111.09
1695,L48874,L,298,307.5,1618,35.2,31,0,0,0,0,0,0,10-08-2021,37,104.38
1696,L48875,L,298,307.6,1509,41.6,33,0,0,0,0,0,0,29-09-2016,43,179.54
1697,L48876,L,297.9,307.6,1550,39,35,0,0,0,0,0,0,10-04-2016,81,92.02
1698,M16557,M,297.9,307.6,1519,44,37,0,0,0,0,0,0,24-07-2018,81,209.52
1699,L48878,L,297.9,307.6,1481,38,40,0,0,0,0,0,0,25-11-2021,62,179.53
1700,L48879,L,298.1,307.7,1289,48.3,42,0,0,0,0,0,0,22-05-2019,92,119.91
1701,M16560,M,298,307.6,1844,23.8,44,0,0,0,0,0,0,25-09-2019,49,162.62
1702,L48881,L,298,307.7,1479,42.5,47,0,0,0,0,0,0,18-11-2019,81,258.15
1703,L48882,L,298,307.7,1430,47.3,49,0,0,0,0,0,0,24-07-2023,84,205.51
1704,M16563,M,298.1,307.8,1636,36.7,51,0,0,0,0,0,0,07-12-2024,89,137.61
1705,M16564,M,298.1,307.8,1503,44.7,54,0,0,0,0,0,0,23-10-2023,90,197.88
1706,M16565,M,298.1,307.8,1608,32.6,57,0,0,0,0,0,0,12-09-2022,112,109.88
1707,L48886,L,298.2,307.8,1521,42.9,60,0,0,0,0,0,0,25-04-2019,90,55.84
1708,L48887,L,298.2,307.8,1439,41.6,62,0,0,0,0,0,0,17-02-2021,111,105.89
1709,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0,18-10-2021,68,56.88
1710,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,10-02-2023,36,156.72
1711,L48890,L,298.2,307.8,1530,35.9,68,0,0,0,0,0,0,07-02-2021,64,295.32
1712,L48891,L,298.2,307.8,1355,51.3,70,0,0,0,0,0,0,12-01-2019,19,252.43
1713,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0,25-12-2022,104,227.46
1714,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0,10-09-2016,119,35.49
1715,L48894,L,298.2,307.8,1388,48.6,76,0,0,0,0,0,0,10-04-2020,8,206.73
1716,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0,17-02-2016,95,255.92
1717,L48896,L,298.1,307.7,1523,37.7,80,0,0,0,0,0,0,30-07-2015,5,233.5
1718,L48897,L,298.2,307.6,1369,54.5,82,0,0,0,0,0,0,26-03-2017,104,250.86
1719,M16578,M,298.2,307.7,1681,31,84,0,0,0,0,0,0,23-07-2019,28,164.22
1720,L48899,L,298.2,307.7,1503,38.3,87,0,0,0,0,0,0,21-06-2019,69,167.21
1721,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0,08-02-2020,51,75.93
